,Region,Poor,Non_Poor,Urban,Rural
0,kachin,9.2,8.7,7.2,10.0
1,kayah,59.4,9.4,12.8,8.2
2,kayin,34.1,12.7,4.5,21.2
3,chin,24.0,9.3,17.4,16.2
4,sagaing,1.3,7.9,7.0,7.3
5,tanintharyi,10.2,18.9,15.6,17.7
6,bago,10.2,15.1,15.7,13.8
7,bago(e),22.3,20.0,23.7,18.6
8,bago(w),0.0,6.7,3.3,6.6
9,magwe,16.7,12.5,8.6,15.0
10,mandalay,12.5,7.3,5.1,11.5
11,mon,28.1,10.6,15.6,11.1
12,rakhine,22.7,16.1,16.7,18.1
13,yangon,5.1,7.6,7.9,4.3
14,shan,2.6,4.9,3.9,5.1
15,shan(s),4.9,3.9,2.4,8.1
16,shan(n),1.2,6.6,6.7,4.2
17,shan(e),5.7,1.3,0.9,4.1
18,ayeyarwaddy,19.2,15.6,11.3,18.3
